Year,Quarter,Month,CashGroupCode,BankCode,ExpandPlatform,ExpandPlatformType,ExpandFlowType,ExpandClientType,ExpandProductType1,ExpandProductType2,G10EM,ExpandCurrency1Region,ExpandCurrency2Region,ExpandCurrency1,ExpandCurrency2,ExpandClientRegion,ExpandHourRegion,ExpandClientCountry,ExpandValueDate,Disclosed/Non Disclosed,ExpandClientSubType,SalesCredit,ClientCount,VolumeBucket,ExpandClientCountryRegion,ExpandOrderType,ExpandPlatformVendorName,ExpandTenorBucket,ExpandTradeType,TradeCount,BlockTrade,ExpandTraderLocation,ExpandBookingType,ExpandSalesLocation,SalesCreditMethodology,Onshore/Offshore,Volume
2025,1,1,Group B,Group B,Integral,MDP,Client,Bank,Swaps,,G10,,,USD,SEK,EMEA,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,10166600
2025,2,6,Group A,Bank D,FXall,MDP,Client,Real Money,Swaps,,G10,,,USD,JPY,AMER,,,,,,0,,,,,,< 1 week,,0,,,,,,,0
2025,2,6,Group A,Group A,BidFX,API,Client,Hedge Fund,Spot,,EM,,,CHF,CNH,APAC,,,,,,0,,,,,,,,0,,,,,,,2901532.355
2025,1,3,Group A,Group A,360T,MDP,Client,Real Money,Spot,Algo Order - Time Based,G10,,,EUR,SEK,EMEA,,,,,,0,,,,,,,,0,,,,,,,70650.11756
2025,2,4,Group A,Group A,SDP,SDP,Client,Bank,Spot,,EM,,,EUR,KRW,UNKNOWN,,,,,,0,,,,,,,,0,,,,,,,163817.7712
2025,2,6,Group C,Group C,Bloomberg,MDP,Client,Hedge Fund,Swaps,,G10,,,USD,GBP,EMEA,,,,,,0,,,,,,< 1 week,,0,,,,,,,2821.760506
2024,2,5,Group A,Group A,FlexTrade,API,Client,Bank,Outrights,Algo Order - Liquidity Seeking,G10,,,USD,CHF,EMEA,,,,,,0,,,,,,,,0,,,,,,,0
2024,2,5,Group C,Group C,Integral,MDP,Client,Bank,NDFs,,EM,,,USD,IDR,APAC,,,,,,0,,,,,,NDFs,,0,,,,,,,1840000
2024,2,4,,Bank UT,Bloomberg,MDP,Client,Real Money,Swaps,,G10,,,EUR,CHF,EMEA,,,,,,0,,,,,,< 1 week,,10,,,,,,,94816265.82
2024,4,12,Group C,Group C,Bloomberg,MDP,Client,Corporate,Swaps,,EM,,,EUR,CZK,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,2931598.678
2024,2,4,Group B,Bank I,FXall,MDP,Client,Hedge Fund,NDFs,,EM,,,USD,INR,EMEA,,,,,,0,,,,,,NDFs,,0,,,,,,,154251754.7
2025,2,4,Group A,Bank L,FXall,MDP,Client,Corporate,Spot,,EM,,,USD,QAR,EMEA,,,,,,0,,,,,,,,0,,,,,,,9875476.8
2025,1,1,Group A,Bank L,FXall,MDP,Client,Corporate,Swaps,,EM,,,GBP,SGD,APAC,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,1369396
2025,3,7,Group B,Group B,Other API,API,Client,Real Money,Swaps,,EM,,,GBP,SGD,EMEA,,,,,,0,,,,,,1 month - 3 months,,0,,,,,,,5192249.791
2025,1,3,Group C,Bank V,SDP,SDP,Client,Bank,Swaps,,EM,,,USD,HUF,EMEA,,,,,,0,,,,,,< 1 week,,0,,,,,,,942
2025,2,4,Group A,Bank L,FXall,MDP,Client,Bank,Outrights,,EM,,,EUR,SGD,EMEA,,,,,,0,,,,,,,,0,,,,,,,57999450.45
2025,3,7,,Bank UT,API,API,Client,Real Money,Outrights,Limit order,EM,,,USD,BRL,EMEA,,,,,,0,,,,,,,,6,,,,,,,7573729.27
2025,1,2,Group A,Group A,Bloomberg,MDP,Client,Bank,Swaps,,G10,,,CAD,SEK,EMEA,,,,,,0,,,,,,1 week - 1 month,,0,,,,,,,2688522.5
2025,1,1,Group B,Bank Q,Other API,API,Client,Corporate,Swaps,,G10,,,USD,GBP,AMER,,,,,,0,,,,,,3 months - 1 year,,0,,,,,,,10435525.87
2025,1,3,Group A,Bank D,API,API,Client,Bank,Spot,,EM,,,USD,PHP,APAC,,,,,,0,,,,,,,,0,,,,,,,0
2025,1,1,Group A,Bank D,FXall,MDP,Client,Bank,Swaps,,EM,,,CNH,HKD,EMEA,,,,,,0,,,,,,> 1 year,,0,,,,,,,0
